p	V
200.010000	198.070788
199.400000	198.768694
198.890000	199.396810
198.220000	200.164506
197.400000	201.071785
196.530000	202.048853
195.690000	203.025922
194.560000	204.142572
193.430000	205.259222
192.590000	206.445663
191.180000	207.632104
189.900000	208.818544
188.770000	210.284148
187.230000	211.679960
186.020000	213.215354
184.550000	214.750748
182.750000	216.425723
181.420000	218.030907
179.610000	219.705882
177.850000	221.450648
176.530000	223.195414
174.650000	225.079761
172.780000	226.964108
171.270000	228.918245
169.530000	230.802592
167.750000	232.756730
166.750000	234.850449
163.710000	236.944167
161.930000	239.107677
159.840000	241.201396
157.740000	243.364905
156.300000	245.598205
153.600000	247.761715
151.520000	250.064806
149.640000	252.228315
147.560000	254.531406
145.640000	256.834497
144.090000	259.277168
142.040000	261.580259
139.980000	263.883350
138.430000	266.186441
136.390000	268.489531
134.880000	270.792622
132.940000	273.095713
130.980000	275.398804
129.560000	277.701894
127.790000	280.004985
125.980000	282.168495
124.630000	284.471585
122.900000	286.774676
121.330000	289.007976
120.150000	291.171486
118.600000	293.265204
117.400000	295.358923
116.040000	297.452642
114.650000	299.476570
113.530000	301.500499
112.180000	303.454636
110.960000	305.338983
109.970000	307.153539
108.860000	309.037886
107.920000	310.782652
106.850000	312.527418
105.690000	314.202393
104.950000	315.737787
104.070000	317.273180
103.230000	318.808574
102.530000	320.343968
101.630000	321.669990
100.850000	322.996012
100.290000	324.252243
99.570000	325.508475
98.980000	326.694915
98.270000	327.811565
97.700000	328.649053
97.170000	329.556331
96.670000	330.324028
96.240000	331.091725
95.760000	331.859422
95.340000	332.487537
94.980000	333.185444
94.610000	333.604187
94.240000	333.953141
94.010000	334.232303
93.730000	334.511466
93.440000	334.720837
93.260000	334.930209
93.080000	335.000000
92.980000	335.000000
92.810000	335.000000
92.740000	334.930209
92.710000	334.720837
92.660000	334.511466
92.670000	334.162512
92.680000	333.813559
92.720000	333.255234
92.780000	332.696909
92.880000	332.068794
92.990000	331.301097
93.120000	330.533400
93.350000	329.626122
93.570000	328.788634
93.750000	327.881356
94.040000	326.834497
94.270000	325.717846
94.610000	324.531406
94.980000	323.275174
95.270000	321.949153
95.690000	320.692921
96.150000	319.157527
96.520000	317.691924
97.020000	316.086740
97.490000	314.551346
97.990000	312.876371
98.640000	311.131605
99.130000	309.386839
99.790000	307.642074
100.440000	305.757727
100.970000	303.873380
101.750000	301.919242
102.400000	299.965105
103.200000	297.941176
104.000000	295.917248
104.740000	293.823529
105.680000	291.729811
106.690000	289.636092
107.520000	287.472582
108.590000	285.239282
109.580000	283.075773
110.700000	280.772682
111.980000	278.469591
112.990000	276.166500
114.290000	273.863410
115.680000	271.560319
116.810000	269.257228
118.250000	266.954138
119.370000	264.651047
120.880000	262.347956
122.390000	260.044865
123.610000	257.741775
125.120000	255.438684
126.840000	253.135593
128.350000	250.832502
130.210000	248.668993
131.750000	246.435693
133.560000	244.272183
135.690000	242.038883
137.360000	239.875374
139.520000	237.711864
141.570000	235.618146
143.310000	233.524427
145.280000	231.570289
147.470000	229.546361
149.170000	227.731805
151.410000	225.707876
153.500000	223.893320
155.260000	222.008973
157.470000	220.264207
159.330000	218.589232
161.590000	216.984048
163.940000	215.309073
165.680000	213.773679
167.890000	212.238285
170.130000	210.842473
171.870000	209.516451
173.910000	208.190429
176.020000	206.864407
177.690000	205.677966
179.720000	204.491525
181.600000	203.444666
183.140000	202.397807
184.990000	201.490528
186.360000	200.653041
188.120000	199.745763
189.880000	198.978066
191.010000	198.349950
192.490000	197.652044
193.720000	197.233300
194.760000	196.674975
195.900000	196.256231
196.930000	195.907278
197.690000	195.558325
198.470000	195.348953
199.030000	195.279163
199.640000	195.139581
200.170000	195.000000
200.530000	195.000000
200.920000	195.139581
201.130000	195.279163
201.320000	195.488534
201.320000	195.767697
201.190000	196.116650
201.130000	196.535394
200.880000	197.093719
200.450000	197.652044
199.960000	198.210369
199.420000	198.838485
198.660000	199.606181
198.110000	200.513460
197.290000	201.420738
196.460000	202.258225
195.520000	203.374875
194.260000	204.491525
193.320000	205.538385
192.140000	206.794616
190.760000	207.981057
189.700000	209.307079
188.300000	210.633101
186.840000	212.168495
185.510000	213.703888
184.010000	215.239282
182.300000	216.844467
180.930000	218.519442
179.140000	220.124626
177.790000	221.869392
175.730000	223.753739
173.940000	225.638086
172.450000	227.452642
170.470000	229.336989
168.630000	231.291127
167.080000	233.315055
165.450000	235.408774
163.490000	237.432702
161.180000	239.666002
158.940000	241.829511
157.370000	244.062812
155.270000	246.226321
153.220000	248.389831
151.150000	250.623131
148.970000	252.926221
146.680000	255.229312
145.200000	257.602193
143.270000	259.905284
141.430000	262.138584
139.690000	264.511466
137.670000	266.814556
135.830000	269.117647
134.290000	271.420738
132.360000	273.723829
130.470000	276.026919
128.960000	278.330010
127.100000	280.563310
125.660000	282.866401
124.010000	285.169492
122.570000	287.333001
121.250000	289.566301
119.610000	291.729811
118.300000	293.893320
116.940000	295.987039
115.580000	298.080758
114.490000	300.034895
113.160000	302.058824
111.730000	304.012961
110.840000	305.897308
109.600000	307.711864
108.440000	309.456630
107.540000	311.340977
106.550000	313.015952
105.640000	314.621137
104.650000	316.156530
103.800000	317.831505
103.090000	319.227318
102.160000	320.692921
101.360000	322.088734
100.790000	323.414756
99.990000	324.601196
99.400000	325.787637
98.770000	327.043868
98.080000	328.020937
97.580000	328.998006
96.990000	329.765703
96.540000	330.533400
96.120000	331.301097
95.670000	332.068794
95.320000	332.696909
94.940000	333.255234
94.610000	333.743769
94.360000	334.022931
94.080000	334.371884
93.830000	334.581256
93.590000	334.790628
93.390000	334.930209
93.240000	335.000000
93.050000	335.000000
92.910000	335.000000
92.860000	334.930209
92.760000	334.720837
92.750000	334.371884
92.720000	334.022931
92.760000	333.604187
92.790000	333.185444
92.820000	332.487537
92.900000	331.859422
93.060000	331.091725
93.190000	330.324028
93.400000	329.416750
93.610000	328.579262
93.880000	327.602193
94.160000	326.485543
94.450000	325.368893
94.790000	324.182453
95.100000	322.996012
95.490000	321.669990
95.920000	320.204387
96.260000	318.808574
96.800000	317.273180
97.250000	315.598205
97.700000	314.062812
98.290000	312.457627
98.760000	310.712861
99.380000	308.968096
100.030000	307.083749
100.630000	305.199402
101.320000	303.315055
102.140000	301.360917
102.780000	299.406780
103.620000	297.313061
104.310000	295.358923
105.220000	293.265204
106.210000	291.171486
106.960000	289.077767
107.990000	286.914257
109.090000	284.680957
110.060000	282.377866
111.240000	280.074776
112.380000	277.771685
113.440000	275.608175
114.710000	273.305085
115.790000	271.001994
117.250000	268.698903
118.670000	266.395813
119.840000	264.092722
121.380000	261.789631
123.010000	259.416750
124.320000	257.113659
126.000000	254.810568
127.410000	252.507478
129.140000	250.274177
131.050000	247.971087
132.590000	245.807577
134.450000	243.574277
136.480000	241.410768
137.980000	239.317049
139.950000	237.153539
142.080000	235.059821
143.830000	232.966102
145.880000	231.011964
147.990000	228.988036
149.750000	227.173480
151.950000	225.289133
153.700000	223.404786
156.040000	221.590229
158.240000	219.775673
160.040000	218.170489
162.310000	216.495513
164.590000	214.960120
166.400000	213.354935
168.550000	211.889332
170.730000	210.493519
172.340000	209.097707
174.440000	207.841476
176.590000	206.515454
178.120000	205.329013
180.200000	204.212363
181.720000	203.165503
183.580000	202.188435
185.510000	201.141575
186.910000	200.304088
188.560000	199.536391
190.180000	198.768694
191.360000	198.070788
192.770000	197.582253
193.980000	197.093719
195.060000	196.535394
196.150000	196.116650
197.130000	195.767697
197.740000	195.558325
198.730000	195.348953
199.210000	195.139581
199.920000	195.139581
200.420000	195.000000
200.770000	195.000000
201.070000	195.139581
201.380000	195.348953
201.440000	195.558325
201.470000	195.907278
201.270000	196.256231
201.070000	196.674975
200.770000	197.233300
200.370000	197.791625
199.810000	198.419741
199.200000	199.117647
198.570000	199.885344
197.890000	200.653041
197.100000	201.630110
196.400000	202.607178
195.330000	203.584247
194.220000	204.700897
193.270000	205.747757
192.120000	207.003988
190.680000	208.330010
189.680000	209.586241
188.120000	210.912263
186.570000	212.447657
185.270000	213.983051
183.680000	215.518445
182.330000	217.193420
180.550000	218.798604
178.730000	220.543370
177.300000	222.357926
175.450000	224.172483
173.530000	226.056830
172.120000	227.941176
170.180000	229.895314
168.270000	231.779661
166.650000	233.873380
164.900000	235.897308
163.350000	237.991027
160.890000	240.224327
158.680000	242.318046
156.620000	244.481555
154.960000	246.645065
153.000000	248.948156
151.050000	251.181456
148.920000	253.484546
146.630000	255.787637
145.070000	258.090728
143.240000	260.393819
141.220000	262.696909
139.450000	265.069791
137.590000	267.372881
135.710000	269.675972
134.270000	271.979063
132.300000	274.282154
130.350000	276.515454
128.920000	278.818544
127.090000	281.121635
125.500000	283.424726
123.800000	285.727817
122.280000	287.891326
120.960000	290.054835
119.540000	292.288136
118.050000	294.381854
116.940000	296.405783
115.570000	298.429711
114.500000	300.523430
113.050000	302.477567
111.660000	304.431705
110.650000	306.316052
109.490000	308.200399
108.270000	309.945165
107.440000	311.689930
106.340000	313.295115
105.460000	314.970090
104.430000	316.505484
103.620000	318.110668
103.010000	319.576271
102.040000	320.972084
101.220000	322.298106
100.520000	323.624128
99.680000	324.950150
99.150000	326.136590
98.540000	327.253240
97.880000	328.230309
97.310000	329.137587
96.740000	329.975075
96.300000	330.742772
95.890000	331.510469
95.490000	332.208375
95.080000	332.836491
94.700000	333.394816
94.370000	333.813559
94.090000	334.162512
93.840000	334.371884
93.560000	334.720837
93.440000	334.790628
93.160000	335.000000
93.050000	335.000000
92.890000	335.000000
92.820000	335.000000
92.700000	334.790628
92.630000	334.581256
92.620000	334.371884
92.610000	334.022931
92.690000	333.604187
92.720000	333.045862
92.770000	332.417747
92.960000	331.719840
93.030000	330.952144
93.200000	330.114656
93.410000	329.207378
93.620000	328.369890
93.850000	327.323031
94.110000	326.276171
94.440000	325.159521
94.750000	323.973081
95.060000	322.647059
95.430000	321.321037
95.840000	319.925224
96.210000	318.459621
96.640000	316.924227
97.170000	315.388833
97.570000	313.783649
98.140000	312.108674
98.620000	310.363908
99.230000	308.619143
99.900000	306.734796
100.500000	304.850449
101.270000	303.035892
102.030000	301.011964
102.640000	298.988036
103.550000	296.964108
104.180000	294.870389
105.110000	292.846461
106.090000	290.752742
106.900000	288.659023
108.000000	286.495513
109.060000	284.192423
109.920000	281.959123
111.130000	279.656032
112.360000	277.352941
113.340000	275.049850
114.700000	272.886341
115.790000	270.583250
117.260000	268.280160
118.770000	265.977069
119.990000	263.673978
121.580000	261.370887
123.180000	258.928215
124.490000	256.625125
126.260000	254.322034
127.590000	252.018943
129.410000	249.855434
131.170000	247.552343
132.660000	245.319043
134.620000	243.155533
136.500000	240.992024
138.130000	238.898305
140.130000	236.665005
142.200000	234.641077
143.910000	232.617149
145.980000	230.663011
147.770000	228.708873
149.950000	226.824526
152.180000	224.870389
154.020000	222.986042
156.300000	221.241276
158.560000	219.496510
160.390000	217.821535
162.550000	216.216351
164.860000	214.680957
166.610000	213.145563
168.740000	211.610169
170.940000	210.144566
172.640000	208.818544
174.740000	207.562313
176.840000	206.306082
178.330000	205.119641
180.380000	204.002991
181.920000	203.025922
183.750000	201.909272
185.640000	201.071785
187.030000	200.164506
188.690000	199.396810
190.300000	198.629113
191.550000	198.000997
192.980000	197.442672
194.220000	197.023928
195.250000	196.465603
196.320000	196.116650
197.130000	195.767697
198.020000	195.488534
198.930000	195.279163
199.270000	195.139581
199.870000	195.139581
200.350000	195.000000
200.630000	195.000000
