Absolutdruck 1, Messreihe #1
Zeit ( s )	Absolutdruck 1 ( kPa )
64,6000	129,46
64,7000	169,31
64,8000	108,74
64,9000	119,60
65,0000	173,54
65,1000	117,52
65,2000	101,04
65,3000	168,27
65,4000	151,75
65,5000	98,53
65,6000	138,99
65,7000	162,39
65,8000	103,45
65,9000	127,96
66,0000	175,71
66,1000	109,68
66,2000	104,85
66,3000	173,00
66,4000	118,80
66,5000	100,59
66,6000	167,14
66,7000	153,31
66,8000	98,44
66,9000	137,69
67,0000	163,43
67,1000	104,03
67,2000	126,63
67,3000	175,56
67,4000	110,98
67,5000	104,04
67,6000	172,43
67,7000	142,92
67,8000	100,13
67,9000	146,81
68,0000	155,18
68,1000	100,38
68,2000	135,76
68,3000	175,23
68,4000	104,88
68,5000	125,12
68,6000	175,34
68,7000	112,34
68,8000	103,50
68,9000	171,80
69,0000	145,05
69,1000	99,66
69,2000	145,50
69,3000	156,35
69,4000	100,85
69,5000	134,36
69,6000	175,55
69,7000	105,69
69,8000	108,18
69,9000	175,04
70,0000	134,06
70,1000	102,89
70,2000	155,19
70,3000	146,39
70,4000	98,51
70,5000	144,13
70,6000	157,84
70,7000	101,38
70,8000	132,84
70,9000	175,66
71,0000	106,54
71,1000	107,25
71,2000	174,52
71,3000	136,01
71,4000	102,26
71,5000	153,52
71,6000	148,26
71,7000	98,87
71,8000	142,59
71,9000	173,47
72,0000	101,95
72,1000	113,31
72,2000	175,70
72,3000	125,51
72,4000	106,55
72,5000	162,05
72,6000	137,60
72,7000	101,72
72,8000	152,04
72,9000	149,79
73,0000	99,04
73,1000	140,78
73,2000	173,86
73,3000	102,57
73,4000	112,18
73,5000	175,73
73,6000	127,08
73,7000	105,76
73,8000	160,76
73,9000	139,11
74,0000	98,06
74,1000	150,78
74,2000	169,38
74,3000	99,38
74,4000	119,58
74,5000	174,28
74,6000	117,68
74,7000	111,48
74,8000	175,77
74,9000	128,40
75,0000	105,10
75,1000	159,86
75,2000	140,17
75,3000	98,08
75,4000	149,77
75,5000	170,03
75,6000	99,62
75,7000	118,72
75,8000	174,68
75,9000	118,92
76,0000	110,54
76,1000	167,41
76,2000	129,78
76,3000	98,40
76,4000	158,75
76,5000	163,48
76,6000	98,16
76,7000	126,75
76,8000	170,79
76,9000	100,02
77,0000	117,34
77,1000	174,98
77,2000	120,20
77,3000	109,63
77,4000	166,16
77,5000	131,64
77,6000	98,20
77,7000	157,21
77,8000	164,46
77,9000	98,15
78,0000	125,32
78,1000	171,83
78,2000	112,21
78,3000	116,12
78,4000	171,89
78,5000	121,65
78,6000	99,74
78,7000	165,13
78,8000	155,71
78,9000	98,02
79,0000	155,92
79,1000	165,63
79,2000	98,38
79,3000	124,12
79,4000	172,29
79,5000	113,21
79,6000	115,06
79,7000	171,11
79,8000	123,21
79,9000	99,44
80,0000	163,88
80,1000	157,69
80,2000	98,07
80,3000	133,08
80,4000	166,95
80,5000	106,65
80,6000	122,74
80,7000	174,80
80,8000	114,48
80,9000	102,25
81,0000	170,44
81,1000	124,43
81,2000	99,27
81,3000	162,85
81,4000	159,14
81,5000	98,02
81,6000	131,79
81,7000	167,82
81,8000	107,42
81,9000	121,27
82,0000	174,16
82,1000	115,83
82,2000	101,76
82,3000	169,53
82,4000	149,63
82,5000	98,81
82,6000	140,88
82,7000	160,58
82,8000	102,59
82,9000	129,61
83,0000	175,73
83,1000	108,82
83,2000	119,93
83,3000	173,75
83,4000	117,38
83,5000	101,12
83,6000	168,48
83,7000	151,02
83,8000	98,49
83,9000	139,35
84,0000	161,82
84,1000	103,26
84,2000	128,32
84,3000	175,63
84,4000	109,64
84,5000	104,94
84,6000	173,07
84,7000	140,98
84,8000	100,55
84,9000	149,03
85,0000	152,83
85,1000	99,77
85,2000	137,67
85,3000	163,15
85,4000	104,03
85,5000	126,92
85,6000	175,57
85,7000	110,76
85,8000	104,32
85,9000	172,61
86,0000	142,46
86,1000	100,32
86,2000	147,56
86,3000	154,34
86,4000	100,24
86,5000	136,52
86,6000	175,04
86,7000	104,68
86,8000	109,20
86,9000	175,26
87,0000	131,83
87,1000	103,72
87,2000	156,78
87,3000	144,13
87,4000	99,93
87,5000	146,22
87,6000	155,70
87,7000	100,64
87,8000	134,73
87,9000	175,27
88,0000	105,34
88,1000	108,64
88,2000	175,05
88,3000	133,25
88,4000	103,13
88,5000	155,79
88,6000	145,25
88,7000	98,43
88,8000	144,98
88,9000	172,26
89,0000	101,13
89,1000	115,15
89,2000	175,47
89,3000	122,82
89,4000	108,10
89,5000	174,91
89,6000	134,08
89,7000	103,00
89,8000	155,16
89,9000	146,37
90,0000	98,54
90,1000	144,38
90,2000	172,63
90,3000	101,38
90,4000	114,67
90,5000	175,48
90,6000	123,67
90,7000	107,67
90,8000	163,73
90,9000	135,32
91,0000	98,00
91,1000	154,38
91,2000	166,85
91,3000	98,77
91,4000	122,95
91,5000	172,94
91,6000	101,65
91,7000	114,18
91,8000	175,58
91,9000	124,57
92,0000	107,35
92,1000	163,18
92,2000	136,00
92,3000	97,96
92,4000	153,51
92,5000	167,22
92,6000	98,77
92,7000	121,92
92,8000	173,22
92,9000	115,19
93,0000	113,27
93,1000	169,75
93,2000	125,65
93,3000	98,98
93,4000	162,00
93,5000	159,67
93,6000	98,06
93,7000	151,94
93,8000	168,41
93,9000	99,15
94,0000	120,78
94,1000	173,81
94,2000	116,34
94,3000	112,30
94,4000	168,92
94,5000	126,96
94,6000	98,80
94,7000	160,91
94,8000	161,01
94,9000	98,07
95,0000	129,31
95,1000	169,06
95,2000	108,91
95,3000	119,49
95,4000	173,49
95,5000	117,57
95,6000	101,07
95,7000	168,42
95,8000	128,13
95,9000	98,56
96,0000	159,82
96,1000	161,71
96,2000	98,07
96,3000	128,68
96,4000	169,81
96,5000	109,58
96,6000	118,81
96,7000	173,21
96,8000	118,50
96,9000	100,64
97,0000	167,36
97,1000	152,76
97,2000	98,45
97,3000	137,73
97,4000	163,40
97,5000	104,14
97,6000	126,66
97,7000	175,40
97,8000	110,91
97,9000	117,30
98,0000	172,47
98,1000	120,47
98,2000	100,12
98,3000	166,04
98,4000	154,82
98,5000	98,29
98,6000	135,95
98,7000	164,67
98,8000	104,99
98,9000	125,13
99,0000	175,05
99,1000	112,28
99,2000	103,28
