Absolutdruck 1, Messreihe #1
Zeit ( s )	Absolutdruck 1 ( kPa )
68,4000	103,32
68,5000	115,04
68,6000	187,70
68,7000	125,51
68,8000	110,47
68,9000	187,91
69,0000	132,31
69,1000	106,73
69,2000	170,01
69,3000	139,84
69,4000	98,43
69,5000	163,42
69,6000	173,09
69,7000	98,54
69,8000	131,78
69,9000	178,80
70,0000	108,96
70,1000	125,35
70,2000	187,14
70,3000	114,09
70,4000	104,78
70,5000	184,48
70,6000	144,83
70,7000	102,02
70,8000	158,84
70,9000	152,77
71,0000	100,11
71,1000	151,51
71,2000	160,67
71,3000	100,38
71,4000	144,08
71,5000	185,66
71,6000	102,77
71,7000	116,05
71,8000	187,75
71,9000	124,32
72,0000	111,22
72,1000	177,13
72,2000	131,12
72,3000	99,27
72,4000	171,21
72,5000	165,12
72,6000	98,48
72,7000	139,68
72,8000	172,47
72,9000	104,73
73,0000	132,53
73,1000	178,24
73,2000	108,53
73,3000	126,03
73,4000	187,55
73,5000	113,48
73,6000	105,14
73,7000	185,07
73,8000	143,80
73,9000	102,34
74,0000	159,95
74,1000	151,86
74,2000	98,81
74,3000	152,42
74,4000	181,54
74,5000	100,18
74,6000	122,35
74,7000	185,23
74,8000	116,95
74,9000	116,77
75,0000	182,79
75,1000	123,38
75,2000	111,86
75,3000	178,02
75,4000	129,98
75,5000	99,41
75,6000	172,17
75,7000	164,17
75,8000	98,46
75,9000	140,83
76,0000	171,16
76,1000	104,03
76,2000	133,85
76,3000	188,23
76,4000	107,58
76,5000	109,52
76,6000	188,03
76,7000	134,39
76,8000	105,84
76,9000	168,49
77,0000	142,16
77,1000	98,33
77,2000	161,63
77,3000	149,96
77,4000	98,61
77,5000	154,23
77,6000	180,59
77,7000	99,80
77,8000	123,78
77,9000	184,64
78,0000	115,68
78,1000	118,01
78,2000	183,93
78,3000	121,80
78,4000	101,42
78,5000	179,32
78,6000	154,93
78,7000	99,69
78,8000	150,12
78,9000	162,22
79,0000	100,71
79,1000	142,72
79,2000	169,63
79,3000	103,33
79,4000	135,63
79,5000	188,15
79,6000	106,62
79,7000	110,59
79,8000	188,37
79,9000	132,33
80,0000	106,83
80,1000	170,57
80,2000	139,93
80,3000	98,44
80,4000	163,69
80,5000	173,49
80,6000	98,48
80,7000	132,00
80,8000	179,21
80,9000	108,98
81,0000	125,71
81,1000	187,71
81,2000	113,76
81,3000	104,92
81,4000	185,06
81,5000	119,70
81,6000	102,20
81,7000	181,29
81,8000	152,02
81,9000	100,24
82,0000	152,81
82,1000	159,83
82,2000	100,13
82,3000	145,59
82,4000	185,62
82,5000	102,37
82,6000	117,17
82,7000	187,81
82,8000	122,87
82,9000	112,17
83,0000	178,66
83,1000	129,76
83,2000	99,52
83,3000	173,00
83,4000	137,12
83,5000	98,58
83,6000	166,39
83,7000	170,90
83,8000	98,41
83,9000	134,71
84,0000	177,04
84,1000	107,36
84,2000	128,36
84,3000	188,51
84,4000	111,78
84,5000	106,30
84,6000	186,45
84,7000	141,36
84,8000	103,21
84,9000	162,53
85,0000	149,27
85,1000	98,60
85,2000	155,58
85,3000	180,08
85,4000	99,54
85,5000	124,93
85,6000	184,37
85,7000	101,37
85,8000	119,26
85,9000	187,27
86,0000	120,47
86,1000	113,87
86,2000	180,66
86,3000	127,44
86,4000	99,99
86,5000	175,14
86,6000	161,31
86,7000	98,85
86,8000	144,36
86,9000	168,65
87,0000	102,80
87,1000	137,11
87,2000	188,35
87,3000	106,04
87,4000	111,58
87,5000	188,83
87,6000	110,11
87,7000	107,54
87,8000	187,44
87,9000	138,67
88,0000	104,19
88,1000	165,03
88,2000	146,57
88,3000	98,39
88,4000	158,17
88,5000	178,42
88,6000	99,16
88,7000	126,79
88,8000	183,30
88,9000	113,11
89,0000	120,95
89,1000	185,90
89,2000	118,91
89,3000	102,59
89,4000	182,17
89,5000	151,20
89,6000	100,47
89,7000	176,84
89,8000	159,25
89,9000	99,14
90,0000	146,25
90,1000	166,70
90,2000	101,99
90,3000	139,08
90,4000	188,05
90,5000	105,09
90,6000	112,71
90,7000	188,90
90,8000	129,33
90,9000	108,46
91,0000	173,68
91,1000	136,84
91,2000	98,67
91,3000	166,90
91,4000	170,73
91,5000	98,41
91,6000	134,91
91,7000	177,51
91,8000	98,95
91,9000	128,17
92,0000	182,44
92,1000	111,91
92,2000	122,13
92,3000	186,70
92,4000	117,66
92,5000	103,10
92,6000	183,10
92,7000	149,70
92,8000	100,86
92,9000	155,36
93,0000	157,46
93,1000	99,60
93,2000	148,27
93,3000	184,75
93,4000	101,44
93,5000	118,80
93,6000	187,69
93,7000	121,04
93,8000	113,86
93,9000	188,98
94,0000	128,01
94,1000	109,33
94,2000	175,32
94,3000	134,71
94,4000	98,90
94,5000	168,85
94,6000	169,02
94,7000	98,38
94,8000	136,95
94,9000	175,72
95,0000	106,21
95,1000	130,13
95,2000	188,90
95,3000	110,43
95,4000	107,46
95,5000	187,64
95,6000	138,81
95,7000	104,36
95,8000	166,08
95,9000	145,75
96,0000	102,00
96,1000	159,43
96,2000	153,13
96,3000	98,95
96,4000	152,81
96,5000	182,24
96,6000	100,07
96,7000	123,10
96,8000	185,68
96,9000	116,22
97,0000	118,06
97,1000	184,46
97,2000	121,71
97,3000	101,68
97,4000	180,78
97,5000	153,87
97,6000	100,11
97,7000	152,35
97,8000	160,78
97,9000	100,25
98,0000	145,58
98,1000	167,41
98,2000	102,16
98,3000	139,10
98,4000	188,24
98,5000	104,81
98,6000	113,29
98,7000	189,17
98,8000	127,95
98,9000	109,47
99,0000	175,84
99,1000	134,06
99,2000	99,00
99,3000	170,40
99,4000	167,24
99,5000	98,43
99,6000	139,16
99,7000	173,51
99,8000	104,82
99,9000	133,08
100,0000	189,19
100,1000	108,07
100,2000	127,53
100,3000	188,81
100,4000	112,25
100,5000	106,21
100,6000	187,16
100,7000	140,97
100,8000	103,55
100,9000	163,92
101,0000	148,12
101,1000	98,53
101,2000	157,56
101,3000	179,09
101,4000	99,19
101,5000	127,04
101,6000	183,23
101,7000	112,44
101,8000	122,09
101,9000	187,09
102,0000	117,27
102,1000	103,49
102,2000	184,03
102,3000	122,84
102,4000	101,30
102,5000	180,12
102,6000	155,28
102,7000	99,86
102,8000	150,98
102,9000	162,28
103,0000	100,61
103,1000	144,57
103,2000	186,58
103,3000	102,59
103,4000	117,03
103,5000	188,56
103,6000	123,27
103,7000	112,67
103,8000	180,01
103,9000	128,95
104,0000	99,75
104,1000	174,94
104,2000	162,23
104,3000	98,83
104,4000	169,57
104,5000	168,51
104,6000	98,45
104,7000	138,40
104,8000	174,61
104,9000	105,36
105,0000	132,37
105,1000	189,43
105,2000	108,71
105,3000	109,15
105,4000	189,00
105,5000	135,17
105,6000	105,95
105,7000	169,62
105,8000	142,13
105,9000	98,43
106,0000	163,34
106,1000	174,57
106,2000	98,57
106,3000	132,22
106,4000	179,68
106,5000	99,29
106,6000	126,75
106,7000	183,67
106,8000	113,08
106,9000	121,61
107,0000	186,95
107,1000	117,65
107,2000	103,33
107,3000	184,01
107,4000	148,86
107,5000	101,24
107,6000	157,19
107,7000	155,81
107,8000	99,27
107,9000	151,11
108,0000	183,67
108,1000	100,52
108,2000	121,83
108,3000	186,73
108,4000	102,56
108,5000	117,08
108,6000	188,67
108,7000	122,67
108,8000	113,04
108,9000	180,53
109,0000	128,35
109,1000	100,00
109,2000	175,86
109,3000	161,13
109,4000	98,98
109,5000	145,71
109,6000	167,88
109,7000	102,27
109,8000	139,36
109,9000	188,51
110,0000	104,82
110,1000	113,57
110,2000	189,39
110,3000	127,53
110,4000	109,85
110,5000	189,19
110,6000	133,77
110,7000	106,72
110,8000	171,06
110,9000	140,26
111,0000	98,53
111,1000	165,10
111,2000	173,02
111,3000	98,42
111,4000	133,88
111,5000	178,35
111,6000	107,69
111,7000	128,60
111,8000	189,31
111,9000	111,34
112,0000	106,93
112,1000	187,95
112,2000	139,55
112,3000	104,20
112,4000	165,70
112,5000	146,31
112,6000	102,01
112,7000	159,83
112,8000	153,12
112,9000	98,91
113,0000	153,77
113,1000	182,14
113,2000	99,91
113,3000	124,06
113,4000	185,68
113,5000	115,41
113,6000	118,91
113,7000	185,61
113,8000	120,73
113,9000	102,17
114,0000	182,02
114,1000	152,73
114,2000	100,44
114,3000	154,01
114,4000	159,43
114,5000	99,91
114,6000	147,44
114,7000	166,00
114,8000	101,70
114,9000	141,14
115,0000	188,21
115,1000	104,05
115,2000	114,37
115,3000	189,48
115,4000	126,50
115,5000	110,57
115,6000	177,52
115,7000	132,55
115,8000	99,25
115,9000	172,35
116,0000	166,10
116,1000	98,60
116,2000	141,13
116,3000	172,33
116,4000	104,08
116,5000	135,00
116,6000	189,37
116,7000	107,12
116,8000	129,20
116,9000	189,57
117,0000	110,96
117,1000	107,30
117,2000	188,33
117,3000	139,00
117,4000	104,41
