Winkelposition, Messreihe #1
Zeit ( s )	Winkelposition ( rad )
24,2500	-0,181
24,3000	0,705
24,3500	1,456
24,4000	1,550
24,4500	0,842
24,5000	-0,130
24,5500	-0,368
24,6000	0,308
24,6500	1,211
24,7000	1,604
24,7500	1,225
24,8000	0,226
24,8500	-0,390
24,9000	-0,050
24,9500	0,873
25,0000	1,527
25,0500	1,483
25,1000	0,652
25,1500	-0,247
25,2000	-0,303
25,2500	0,485
25,3000	1,335
25,3500	1,598
25,4000	1,067
25,4500	0,053
25,5000	-0,401
25,5500	0,105
25,6000	1,041
25,6500	1,579
25,7000	1,381
25,7500	0,451
25,8000	-0,335
25,8500	-0,203
25,9000	0,669
25,9500	1,439
26,0000	1,561
26,0500	0,881
26,1000	-0,104
26,1500	-0,377
26,2000	0,278
26,2500	1,189
26,3000	1,602
26,3500	1,250
26,4000	0,256
26,4500	-0,385
26,5000	-0,072
26,5500	0,848
26,6000	1,517
26,6500	1,494
26,7000	0,679
26,7500	-0,231
26,8000	-0,314
26,8500	0,459
26,9000	1,318
26,9500	1,601
27,0000	1,090
27,0500	0,075
27,1000	-0,401
27,1500	0,082
27,2000	1,021
27,2500	1,572
27,3000	1,396
27,3500	0,479
27,4000	-0,325
27,4500	-0,218
27,5000	0,647
27,5500	1,428
27,6000	1,568
27,6500	0,903
27,7000	-0,088
27,7500	-0,382
27,8000	0,258
27,8500	1,175
27,9000	1,601
27,9500	1,264
28,0000	0,275
28,0500	-0,382
28,1000	-0,090
28,1500	0,823
28,2000	1,508
28,2500	1,506
28,3000	0,712
28,3500	-0,214
28,4000	-0,327
28,4500	0,434
28,5000	1,304
28,5500	1,602
28,6000	1,111
28,6500	0,096
28,7000	-0,401
28,7500	0,061
28,8000	0,999
28,8500	1,566
28,9000	1,414
28,9500	0,511
29,0000	-0,313
29,0500	-0,234
29,1000	0,620
29,1500	1,414
29,2000	1,574
29,2500	0,933
29,3000	-0,064
29,3500	-0,386
29,4000	0,229
29,4500	1,151
29,5000	1,599
29,5500	1,286
29,6000	0,306
29,6500	-0,375
29,7000	-0,110
29,7500	0,798
29,8000	1,497
29,8500	1,517
29,9000	0,740
29,9500	-0,198
30,0000	-0,336
30,0500	0,407
30,1000	1,286
30,1500	1,604
30,2000	1,136
30,2500	0,124
30,3000	-0,401
30,3500	0,038
30,4000	0,972
30,4500	1,558
30,5000	1,429
30,5500	0,539
30,6000	-0,302
30,6500	-0,250
30,7000	0,594
30,7500	1,398
30,8000	1,580
30,8500	0,964
30,9000	-0,041
30,9500	-0,391
31,0000	0,201
31,0500	1,131
31,1000	1,596
