Temperatur, Messreihe #1
Zeit ( s )	Temperatur ( °C )
82,0000	8,8
82,2000	8,8
82,4000	8,7
82,6000	8,7
82,8000	8,7
83,0000	8,7
83,2000	8,6
83,4000	8,6
83,6000	8,6
83,8000	8,6
84,0000	8,5
84,2000	8,5
84,4000	8,5
84,6000	8,4
84,8000	8,4
85,0000	8,4
85,2000	8,4
85,4000	8,3
85,6000	8,3
85,8000	8,3
86,0000	8,2
86,2000	8,2
86,4000	8,2
86,6000	8,2
86,8000	8,1
87,0000	8,1
87,2000	8,1
87,4000	8,1
87,6000	8,0
87,8000	8,0
88,0000	8,0
88,2000	7,9
88,4000	7,9
88,6000	7,9
88,8000	7,9
89,0000	7,8
89,2000	7,8
89,4000	7,8
89,6000	7,8
89,8000	7,7
90,0000	7,7
90,2000	7,7
90,4000	7,7
90,6000	7,6
90,8000	7,6
91,0000	7,6
91,2000	7,5
91,4000	7,5
91,6000	7,5
91,8000	7,5
92,0000	7,4
92,2000	7,4
92,4000	7,4
92,6000	7,4
92,8000	7,3
93,0000	7,3
93,2000	7,3
93,4000	7,3
93,6000	7,2
93,8000	7,2
94,0000	7,2
94,2000	7,2
94,4000	7,1
94,6000	7,1
94,8000	7,1
95,0000	7,0
95,2000	7,0
95,4000	7,0
95,6000	7,0
95,8000	6,9
96,0000	6,9
96,2000	6,9
96,4000	6,9
96,6000	6,8
96,8000	6,8
97,0000	6,8
97,2000	6,8
97,4000	6,7
97,6000	6,7
97,8000	6,7
98,0000	6,7
98,2000	6,6
98,4000	6,6
98,6000	6,6
98,8000	6,6
99,0000	6,5
99,2000	6,5
99,4000	6,5
99,6000	6,4
99,8000	6,4
100,0000	6,4
100,2000	6,4
100,4000	6,3
100,6000	6,3
100,8000	6,3
101,0000	6,3
101,2000	6,2
101,4000	6,2
101,6000	6,2
101,8000	6,2
102,0000	6,1
102,2000	6,1
102,4000	6,1
102,6000	6,1
102,8000	6,0
103,0000	6,0
103,2000	6,0
103,4000	5,9
103,6000	5,9
103,8000	5,9
104,0000	5,9
104,2000	5,8
104,4000	5,8
104,6000	5,8
104,8000	5,8
105,0000	5,7
0,0000	5,7
0,1000	5,7
0,2000	5,7
0,3000	5,7
0,4000	5,6
0,5000	5,6
0,6000	5,6
0,7000	5,6
0,8000	5,6
0,9000	5,6
1,0000	5,6
1,1000	5,6
1,2000	5,5
1,3000	5,5
1,4000	5,5
1,5000	5,5
1,6000	5,5
1,7000	5,5
1,8000	5,5
1,9000	5,5
2,0000	5,4
2,1000	5,4
2,2000	5,4
2,3000	5,4
2,4000	5,4
2,5000	5,4
2,6000	5,4
2,7000	5,3
2,8000	5,3
2,9000	5,3
3,0000	5,3
3,1000	5,3
3,2000	5,3
3,3000	5,3
3,4000	5,3
3,5000	5,2
3,6000	5,2
3,7000	5,2
3,8000	5,2
3,9000	5,2
4,0000	5,2
4,1000	5,2
4,2000	5,2
4,3000	5,1
4,4000	5,1
4,5000	5,1
4,6000	5,1
4,7000	5,1
4,8000	5,1
4,9000	5,1
5,0000	5,0
5,1000	5,0
5,2000	5,0
5,3000	5,0
5,4000	5,0
5,5000	5,0
5,6000	5,0
5,7000	4,9
5,8000	4,9
5,9000	4,9
6,0000	4,9
6,1000	4,9
6,2000	4,9
6,3000	4,9
6,4000	4,9
6,5000	4,8
6,6000	4,8
6,7000	4,8
6,8000	4,8
6,9000	4,8
7,0000	4,8
7,1000	4,8
7,2000	4,8
7,3000	4,7
7,4000	4,7
7,5000	4,7
7,6000	4,7
7,7000	4,7
7,8000	4,7
7,9000	4,7
8,0000	4,6
8,1000	4,6
8,2000	4,6
8,3000	4,6
8,4000	4,6
8,5000	4,6
8,6000	4,6
8,7000	4,6
8,8000	4,5
8,9000	4,5
9,0000	4,5
9,1000	4,5
9,2000	4,5
9,3000	4,5
9,4000	4,5
9,5000	4,5
9,6000	4,4
9,7000	4,4
9,8000	4,4
9,9000	4,4
10,0000	4,4
10,1000	4,4
10,2000	4,4
10,3000	4,4
10,4000	4,3
10,5000	4,3
10,6000	4,3
10,7000	4,3
10,8000	4,3
10,9000	4,3
11,0000	4,3
11,1000	4,3
11,2000	4,2
11,3000	4,2
11,4000	4,2
11,5000	4,2
11,6000	4,2
11,7000	4,2
11,8000	4,2
11,9000	4,1
12,0000	4,1
12,1000	4,1
12,2000	4,1
12,3000	4,1
12,4000	4,1
12,5000	4,1
12,6000	4,1
12,7000	4,1
12,8000	4,0
12,9000	4,0
13,0000	4,0
